Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-09-12,07:06:50.296,1.777729607965739e-06,-57.5013427734375,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:06:50.296Z,,,,,
2025-09-12,07:08:16.046,1.7874075410873047e-06,-57.47776412963867,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:08:16.046Z,,,,,
2025-09-12,07:09:41.797,1.7924348867381923e-06,-57.4655647277832,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:09:41.797Z,,,,,
2025-09-12,07:11:07.548,1.7876645870273933e-06,-57.47713851928711,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:11:07.548Z,,,,,
2025-09-12,07:12:33.298,1.7890334902403993e-06,-57.47381591796875,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:12:33.298Z,,,,,
2025-09-12,07:13:59.049,1.7918569028552156e-06,-57.46696853637695,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:13:59.049Z,,,,,
2025-09-12,07:15:24.799,1.792175680748187e-06,-57.46619415283203,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:15:24.799Z,,,,,
2025-09-12,07:16:50.550,1.7944018964044517e-06,-57.4608039855957,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:16:50.550Z,,,,,
2025-09-12,07:18:16.301,1.7903080333780963e-06,-57.47072219848633,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:18:16.301Z,,,,,
2025-09-12,07:19:42.051,1.7897766610985855e-06,-57.47201156616211,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:19:42.051Z,,,,,
2025-09-12,07:21:07.802,1.7879279994303943e-06,-57.47650146484375,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:21:07.802Z,,,,,
2025-09-12,07:22:33.553,1.7915822354552802e-06,-57.46763229370117,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:22:33.553Z,,,,,
2025-09-12,07:23:59.305,1.789258590179088e-06,-57.473270416259766,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:23:59.305Z,,,,,
2025-09-12,07:25:25.055,1.7859513263829285e-06,-57.48130416870117,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:25:25.055Z,,,,,
2025-09-12,07:26:50.806,1.7904008018376771e-06,-57.470497131347656,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:26:50.806Z,,,,,
2025-09-12,07:28:16.557,1.7860758134702337e-06,-57.48100280761719,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:28:16.557Z,,,,,
2025-09-12,07:29:42.308,1.781133846634475e-06,-57.49303436279297,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:29:42.308Z,,,,,
2025-09-12,07:31:08.059,1.7724601093505044e-06,-57.51423645019531,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:31:08.059Z,,,,,
2025-09-12,07:32:33.810,1.7668843383944477e-06,-57.52791976928711,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:32:33.810Z,,,,,
2025-09-12,07:33:59.561,1.7591964933671989e-06,-57.54685592651367,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:33:59.561Z,,,,,
2025-09-12,07:35:25.311,1.7529648630443262e-06,-57.5622673034668,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:35:25.311Z,,,,,
2025-09-12,07:36:51.062,1.7499318119007512e-06,-57.56978988647461,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:36:51.062Z,,,,,
2025-09-12,07:38:16.813,1.738993432809366e-06,-57.59701919555664,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:38:16.813Z,,,,,
2025-09-12,07:39:42.564,1.7335870552415145e-06,-57.61054229736328,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:39:42.564Z,,,,,
2025-09-12,07:41:08.315,1.7339892792733735e-06,-57.609535217285156,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:41:08.315Z,,,,,
2025-09-12,07:42:34.065,1.7305344499618514e-06,-57.61819839477539,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:42:34.065Z,,,,,
2025-09-12,07:43:59.816,1.7258902289540856e-06,-57.62986755371094,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:43:59.816Z,,,,,
2025-09-12,07:45:25.567,1.721327635095804e-06,-57.64136505126953,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:45:25.567Z,,,,,
2025-09-12,07:46:51.318,1.7191030110552674e-06,-57.64698028564453,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:46:51.318Z,,,,,
2025-09-12,07:48:17.068,1.7158852188003948e-06,-57.65511703491211,,,,,,,,,,,,,,,,,,,,0,0,0,0,2025-09-11T21:48:17.068Z,,,,,
