Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2026-05-17,10:55:10.934,3.7470566894626245e-05,-44.26309585571289,-109.8641586303711,373.65509033203125,165.52999877929688,208.12509155273438,,,139562.328125,0.41524094343185425,278.4478759765625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:55:10.934Z,,,,,
2026-05-17,10:55:50.982,3.7451114621944726e-05,-44.26535415649414,-109.8649673461914,373.5856018066406,165.52999877929688,208.05560302734375,,,139515.734375,0.41516369581222534,278.3960876464844,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:55:50.982Z,,,,,
2026-05-17,10:56:31.026,3.74802912119776e-05,-44.26197052001953,-109.86333465576172,373.72576904296875,165.52999877929688,208.19577026367188,,,139609.71875,0.4153194725513458,278.50054931640625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:56:31.026Z,,,,,
2026-05-17,10:57:11.073,3.746973743545823e-05,-44.2631950378418,-109.86479949951172,373.6001892089844,165.52999877929688,208.0701904296875,,,139525.515625,0.41517990827560425,278.406982421875,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:57:11.073Z,,,,,
2026-05-17,10:57:51.087,3.746930087800138e-05,-44.26324462890625,-109.86441802978516,373.6327819824219,165.52999877929688,208.102783203125,,,139547.375,0.4152161478996277,278.4312744140625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:57:51.087Z,,,,,
2026-05-17,10:58:31.133,3.745752837858163e-05,-44.264610290527344,-109.86540222167969,373.5480041503906,165.52999877929688,208.01800537109375,,,139490.53125,0.4151219129562378,278.3680725097656,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:58:31.133Z,,,,,
2026-05-17,10:59:21.429,3.746642323676497e-05,-44.26357650756836,-109.86412811279297,373.6573791503906,165.52999877929688,208.12738037109375,,,139563.859375,0.4152434766292572,278.4495849609375,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T00:59:21.429Z,,,,,
2026-05-17,11:00:01.475,3.745434878510423e-05,-44.264976501464844,-109.8653335571289,373.5540771484375,165.52999877929688,208.02407836914062,,,139494.59375,0.4151286780834198,278.37261962890625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:00:01.475Z,,,,,
2026-05-17,11:00:41.489,3.7452165997819975e-05,-44.26523208618164,-109.86480712890625,373.5995788574219,165.52999877929688,208.069580078125,,,139525.109375,0.4151792526245117,278.4065246582031,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:00:41.489Z,,,,,
2026-05-17,11:01:21.534,3.746117727132514e-05,-44.26418685913086,-109.86461639404297,373.61578369140625,165.52999877929688,208.08578491210938,,,139535.96875,0.4151972532272339,278.4185791015625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:01:21.534Z,,,,,
2026-05-17,11:02:01.580,3.7468391383299604e-05,-44.26334762573242,-109.86448669433594,373.62652587890625,165.52999877929688,208.09652709960938,,,139543.1875,0.41520917415618896,278.4266052246094,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:02:01.580Z,,,,,
2026-05-17,11:02:41.625,3.744044806808233e-05,-44.2665901184082,-109.86566925048828,373.5251770019531,165.52999877929688,207.99517822265625,,,139475.21875,0.41509655117988586,278.35107421875,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:02:41.625Z,,,,,
2026-05-17,11:03:21.641,3.7468929804163054e-05,-44.26328659057617,-109.86434936523438,373.638427734375,165.52999877929688,208.10842895507812,,,139551.15625,0.4152224063873291,278.4354553222656,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:03:21.641Z,,,,,
2026-05-17,11:04:01.685,3.7463451008079574e-05,-44.26392364501953,-109.86457824707031,373.6189270019531,165.52999877929688,208.08892822265625,,,139538.078125,0.41520074009895325,278.4209289550781,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:04:01.685Z,,,,,
2026-05-17,11:04:41.731,3.7446236092364416e-05,-44.26591873168945,-109.86621856689453,373.47808837890625,165.52999877929688,207.94808959960938,,,139443.640625,0.41504421830177307,278.31597900390625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:04:41.731Z,,,,,
2026-05-17,11:05:21.778,3.7466088542714715e-05,-44.263614654541016,-109.86431121826172,373.6421203613281,165.52999877929688,208.11212158203125,,,139553.625,0.4152265191078186,278.438232421875,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:05:21.778Z,,,,,
2026-05-17,11:06:01.822,3.744813147932291e-05,-44.26569747924805,-109.86627960205078,373.4724426269531,165.52999877929688,207.94244384765625,,,139439.859375,0.41503795981407166,278.311767578125,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:06:01.822Z,,,,,
2026-05-17,11:06:41.835,3.744551941053942e-05,-44.2660026550293,-109.86639404296875,373.4624938964844,165.52999877929688,207.9324951171875,,,139433.1875,0.4150269031524658,278.3043518066406,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:06:41.835Z,,,,,
2026-05-17,11:07:21.883,3.745466528926045e-05,-44.26494216918945,-109.86563110351562,373.5286865234375,165.52999877929688,207.99868774414062,,,139477.5625,0.41510045528411865,278.35369873046875,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:07:21.883Z,,,,,
2026-05-17,11:08:01.928,3.7430949305417016e-05,-44.26769256591797,-109.86723327636719,373.39093017578125,165.52999877929688,207.86093139648438,,,139385.203125,0.41494736075401306,278.25103759765625,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:08:01.928Z,,,,,
2026-05-17,11:08:41.974,3.7467627407750115e-05,-44.2634391784668,-109.86563110351562,373.5283508300781,165.52999877929688,207.99835205078125,,,139477.34375,0.41510009765625,278.3534240722656,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:08:41.974Z,,,,,
2026-05-17,11:09:21.988,3.745921640074812e-05,-44.26441192626953,-109.86555480957031,373.53472900390625,165.52999877929688,208.00473022460938,,,139481.625,0.4151071608066559,278.3581848144531,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:09:21.988Z,,,,,
2026-05-17,11:10:02.033,3.7464349588844925e-05,-44.263816833496094,-109.86441802978516,373.6330261230469,165.52999877929688,208.10302734375,,,139547.53125,0.4152164161205292,278.4314270019531,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:10:02.033Z,,,,,
2026-05-17,11:10:42.078,3.7466990761458874e-05,-44.263511657714844,-109.86369323730469,373.69525146484375,165.52999877929688,208.16525268554688,,,139589.265625,0.41528555750846863,278.4778137207031,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:10:42.078Z,,,,,
2026-05-17,11:11:22.124,3.746692163986154e-05,-44.263519287109375,-109.86443328857422,373.6314697265625,165.52999877929688,208.10147094726562,,,139546.5,0.4152146875858307,278.4302673339844,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:11:22.124Z,,,,,
2026-05-17,11:12:02.169,3.74696719518397e-05,-44.26320266723633,-109.86436462402344,373.63702392578125,165.52999877929688,208.10702514648438,,,139550.21875,0.41522085666656494,278.4344177246094,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:12:02.169Z,,,,,
2026-05-17,11:12:42.183,3.746481525013223e-05,-44.263763427734375,-109.8650894165039,373.5751953125,165.52999877929688,208.04519653320312,,,139508.765625,0.4151521325111389,278.3883361816406,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:12:42.183Z,,,,,
2026-05-17,11:13:22.230,3.7477908335858956e-05,-44.262245178222656,-109.86436462402344,373.6373291015625,165.52999877929688,208.10733032226562,,,139550.421875,0.4152211844921112,278.4346618652344,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:13:22.230Z,,,,,
2026-05-17,11:14:02.274,3.744814603123814e-05,-44.26569747924805,-109.86559295654297,373.53167724609375,165.52999877929688,208.00167846679688,,,139479.578125,0.4151037931442261,278.3559265136719,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:14:02.274Z,,,,,
2026-05-17,11:14:42.319,3.7460322346305475e-05,-44.264286041259766,-109.86542510986328,373.54595947265625,165.52999877929688,208.01596069335938,,,139489.15625,0.41511964797973633,278.3665466308594,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:14:42.319Z,,,,,
2026-05-17,11:15:22.334,3.7445046473294497e-05,-44.266056060791016,-109.86669158935547,373.4375,165.52999877929688,207.90750122070312,,,139416.421875,0.4149991273880005,278.2857360839844,0.010824184864759445,0,,,,,,,,,0,0,0,0,2026-05-17T01:15:22.334Z,,,,,
